,vw_id4_id5,vw_id3,fiat_500,vw_golf,vw_up,renault_zoe,smart_fortwo,tesla_model_3,bmw_i3,hyundai_kona
model_30_025_interaction_false_norm_cars,1.5333333333333334,3.033333333333333,1.6666666666666667,1.8,2.7666666666666666,4.766666666666667,2.5,2.966666666666667,1.7,2.2666666666666666
model_30_025_interaction_false_off_peak_cars,1.5,2.5,1.8,1.7333333333333334,2.8,4.633333333333334,2.533333333333333,3.2666666666666666,2.1333333333333333,2.1
model_30_025_interaction_true_norm_cars,1.2666666666666666,2.533333333333333,1.6333333333333333,1.7333333333333334,2.6666666666666665,4.6,2.3333333333333335,3.4,2.466666666666667,2.3666666666666667
model_30_025_interaction_true_off_peak_cars,1.1,3.3,1.5,0.9666666666666667,2.933333333333333,5.0,2.3,2.7333333333333334,2.6,2.566666666666667
model_30_050_interaction_true_off_peak_cars,2.8333333333333335,5.0,3.033333333333333,2.7666666666666666,5.733333333333333,9.4,5.566666666666666,6.166666666666667,4.833333333333333,4.666666666666667
model_30_050_interaction_false_norm_cars,2.6333333333333333,4.6,3.1,2.8,5.733333333333333,9.3,5.833333333333333,6.133333333333334,4.8,5.066666666666666
model_30_050_interaction_false_off_peak_cars,2.966666666666667,6.1,2.7,3.2,5.366666666666666,9.033333333333333,5.4,6.233333333333333,4.2,4.8
model_30_050_interaction_true_norm_cars,3.3333333333333335,5.066666666666666,3.1666666666666665,3.033333333333333,5.6,9.1,5.4,6.533333333333333,4.266666666666667,4.5
model_30_150_interaction_false_norm_cars,8.7,15.0,9.933333333333334,9.3,16.133333333333333,29.666666666666668,15.466666666666667,19.3,12.9,13.6
model_30_150_interaction_false_off_peak_cars,8.666666666666666,15.4,9.833333333333334,9.333333333333334,16.366666666666667,30.066666666666666,15.666666666666666,18.833333333333332,12.366666666666667,13.466666666666667
model_30_150_interaction_true_norm_cars,9.2,15.866666666666667,9.6,9.566666666666666,16.233333333333334,28.3,15.433333333333334,19.933333333333334,11.966666666666667,13.9
model_30_150_interaction_true_off_peak_cars,8.033333333333333,15.333333333333334,9.133333333333333,9.1,17.233333333333334,28.666666666666668,15.866666666666667,18.833333333333332,13.9,13.9
model_30_300_interaction_false_norm_cars,17.266666666666666,32.766666666666666,20.433333333333334,17.566666666666666,34.43333333333333,55.733333333333334,32.2,35.86666666666667,26.166666666666668,27.566666666666666
model_30_300_interaction_false_off_peak_cars,18.3,31.166666666666668,19.533333333333335,18.633333333333333,35.0,56.1,32.9,36.7,24.9,26.766666666666666
model_30_300_interaction_true_norm_cars,16.7,32.266666666666666,18.633333333333333,18.733333333333334,35.06666666666667,54.06666666666667,33.333333333333336,37.96666666666667,26.7,26.533333333333335
model_30_300_interaction_true_off_peak_cars,17.633333333333333,32.4,20.5,18.866666666666667,32.56666666666667,55.03333333333333,32.833333333333336,37.6,25.3,27.266666666666666
